    0.12674826278819    7.0337350260605D-02
     6.7127885181594D-02    5.5001100703050D-02
     3.0818091845608D-02    3.1862391113653D-02
     1.2056854462343D-02    1.3389855005286D-02
     3.6958713020078D-03    3.3793812333405D-03
     5.2356197883263D-04   -2.1003193333334D-04
    -1.8742166700992D-04   -4.6847450245378D-04
     3.2945174449495D-04    6.5280066355007D-04
     1.4672364492293D-03    2.2434294248796D-03
     2.8769422515379D-03    3.9071331079564D-03
     4.3470963119549D-03    5.4701089666982D-03
     5.7543261758875D-03    6.8612073730209D-03
     7.0335524773094D-03    8.0600437025650D-03
     8.1572060955801D-03    9.0715480733831D-03
     9.1206595076878D-03    9.9125045183684D-03
     9.9323189538681D-03    1.0604252174907D-02
     1.0607147631696D-02    1.1168777967584D-02
     1.1162621507930D-02    1.1626731791959D-02
     1.1616344007425D-02    1.1996535364987D-02
     1.1984749343714D-02    1.2294102311223D-02
     1.2282492321899D-02    1.2532885691308D-02
     1.2522251624671D-02    1.2724086774701D-02
     1.2714767637131D-02    1.2876929471150D-02
     1.2869001483984D-02    1.2998947312871D-02
     1.2992346160116D-02    1.3096255232213D-02
     1.3090849513324D-02    1.3173793255046D-02
     1.3169427152500D-02    1.3235537712387D-02
     1.3232054612222D-02    1.3284680189875D-02
     1.3281934772644D-02    1.3323776750925D-02
     1.3321640290724D-02    1.3354870948540D-02
     1.3353232757735D-02    1.3379594370430D-02
     1.3378361178886D-02    1.3399248296113D-02
     1.3398342630229D-02    1.3414869691491D-02
     1.3414227868924D-02    1.3427284345389D-02
     1.3426854426311D-02    1.3437149529117D-02
     1.3436889399675D-02    1.3444988167424D-02
     1.3444863834158D-02    1.3451216161547D-02
     1.3451200280601D-02    1.3456164206370D-02
     1.3456234841841D-02    1.3460095192188D-02
     1.3460234783437D-02    1.3463218072706D-02
     1.3463412584757D-02    1.3465698909372D-02
     1.3465937139521D-02    1.3467669662255D-02
     1.3467942677584D-02    1.3469235184254D-02
     1.3469535867453D-02    1.3470478783999D-02
     1.3470801467929D-02    1.3471466649142D-02
     1.3471806823616D-02    1.3472251362770D-02
     1.3472605439777D-02    1.3472874698389D-02
     1.3473239824441D-02    1.3473369841205D-02
     1.3473743747529D-02    1.3473763153267D-02
     1.3474144036345D-02    1.3474075576018D-02
     1.3474462002403D-02    1.3474323744675D-02
     1.3474714575197D-02    1.3474520873590D-02
     1.3474915203028D-02    1.3474677459626D-02
     1.3475074568723D-02    1.3474801840950D-02
     1.3475201158242D-02    1.3474900640935D-02
     1.3475301712407D-02    1.3474979120797D-02
     1.3475381585756D-02    1.3475041459722D-02
     1.3475445031626D-02    1.3475090977387D-02
     1.3475495428605D-02    1.3475130310728D-02
     1.3475535460435D-02    1.3475161554351D-02
     1.3475567258900D-02    1.3475186372067D-02
     1.3475592517353D-02    1.3475206085494D-02
     1.3475612580876D-02    1.3475221744436D-02
     1.3475628517913D-02    1.3475234182782D-02
     1.3475641177159D-02    1.3475244062915D-02
     1.3475651232762D-02    1.3475251910987D-02
     1.3475659220214D-02    1.3475258144932D-02
     1.3475665564875D-02    1.3475263096733D-02
     1.3475670604620D-02    1.3475267030087D-02
     1.3475674607832D-02    1.3475270154461D-02
     1.3475677787697D-02    1.3475272636246D-02
     1.3475680313554D-02    1.3475274607591D-02
     1.3475682319914D-02    1.3475276173487D-02
     1.3475683913623D-02    1.3475277417327D-02
     1.3475685179550D-02    1.3475278405340D-02
     1.3475686185112D-02    1.3475279190146D-02
     1.3475686983859D-02    1.3475279813532D-02
     1.3475687618325D-02    1.3475280308727D-02
     1.3475688122300D-02    1.3475280702045D-02
     1.3475688522622D-02    1.3475281014499D-02
     1.3475688840608D-02    1.3475281262658D-02
