 0.16497E+01 -0.76136E+00  0.16910E+01
 0.16465E+01 -0.77836E+00  0.16877E+01
 0.16429E+01 -0.79685E+00  0.16840E+01
 0.16391E+01 -0.81644E+00  0.16801E+01
 0.16350E+01 -0.83662E+00  0.16759E+01
 0.16309E+01 -0.85686E+00  0.16717E+01
 0.16268E+01 -0.87663E+00  0.16675E+01
 0.16228E+01 -0.89551E+00  0.16634E+01
 0.16191E+01 -0.91319E+00  0.16596E+01
 0.16158E+01 -0.92946E+00  0.16562E+01
 0.16128E+01 -0.94423E+00  0.16531E+01
 0.16101E+01 -0.95745E+00  0.16504E+01
 0.16078E+01 -0.96912E+00  0.16480E+01
 0.16059E+01 -0.97931E+00  0.16460E+01
 0.16042E+01 -0.98810E+00  0.16443E+01
 0.16028E+01 -0.99559E+00  0.16429E+01
 0.16017E+01 -0.10019E+01  0.16417E+01
 0.16007E+01 -0.10072E+01  0.16407E+01
 0.16000E+01 -0.10116E+01  0.16400E+01
 0.15993E+01 -0.10152E+01  0.16393E+01
 0.15988E+01 -0.10181E+01  0.16388E+01
 0.15984E+01 -0.10206E+01  0.16384E+01
 0.15981E+01 -0.10225E+01  0.16380E+01
 0.15978E+01 -0.10241E+01  0.16378E+01
 0.15976E+01 -0.10253E+01  0.16375E+01
 0.15974E+01 -0.10264E+01  0.16374E+01
 0.15973E+01 -0.10272E+01  0.16372E+01
 0.15972E+01 -0.10278E+01  0.16371E+01
 0.15971E+01 -0.10284E+01  0.16370E+01
 0.15970E+01 -0.10288E+01  0.16370E+01
 0.15970E+01 -0.10291E+01  0.16369E+01
 0.15969E+01 -0.10294E+01  0.16369E+01
 0.15969E+01 -0.10296E+01  0.16368E+01
 0.15969E+01 -0.10297E+01  0.16368E+01
 0.15969E+01 -0.10299E+01  0.16368E+01
 0.15968E+01 -0.10300E+01  0.16368E+01
 0.15968E+01 -0.10301E+01  0.16367E+01
 0.15968E+01 -0.10301E+01  0.16367E+01
 0.15968E+01 -0.10302E+01  0.16367E+01
 0.15968E+01 -0.10302E+01  0.16367E+01
 0.15968E+01 -0.10303E+01  0.16367E+01
 0.15968E+01 -0.10303E+01  0.16367E+01
 0.15968E+01 -0.10303E+01  0.16367E+01
 0.15968E+01 -0.10303E+01  0.16367E+01
 0.15968E+01 -0.10303E+01  0.16367E+01
 0.15968E+01 -0.10304E+01  0.16367E+01
 0.15968E+01 -0.10304E+01  0.16367E+01
 0.15968E+01 -0.10304E+01  0.16367E+01
 0.15968E+01 -0.10304E+01  0.16367E+01
 0.15968E+01 -0.10304E+01  0.16367E+01
 0.15968E+01 -0.10304E+01  0.16367E+01
 0.15968E+01 -0.10304E+01  0.16367E+01
 0.15968E+01 -0.10304E+01  0.16367E+01
 0.15968E+01 -0.10304E+01  0.16367E+01
 0.15968E+01 -0.10304E+01  0.16367E+01
 0.15968E+01 -0.10304E+01  0.16367E+01
 0.15968E+01 -0.10304E+01  0.16367E+01
 0.15968E+01 -0.10304E+01  0.16367E+01
 0.15968E+01 -0.10304E+01  0.16367E+01
 0.15968E+01 -0.10304E+01  0.16367E+01
 0.15968E+01 -0.10304E+01  0.16367E+01
 0.15968E+01 -0.10304E+01  0.16367E+01
 0.15968E+01 -0.10304E+01  0.16367E+01
 0.15968E+01 -0.10304E+01  0.16367E+01
 0.15968E+01 -0.10304E+01  0.16367E+01
 0.15968E+01 -0.10304E+01  0.16367E+01
 0.15968E+01 -0.10304E+01  0.16367E+01
 0.15968E+01 -0.10304E+01  0.16367E+01
 0.15968E+01 -0.10304E+01  0.16367E+01
 0.15968E+01 -0.10304E+01  0.16367E+01
 0.15968E+01 -0.10304E+01  0.16367E+01
 0.15968E+01 -0.10304E+01  0.16367E+01
 0.15968E+01 -0.10304E+01  0.16367E+01
 0.15968E+01 -0.10304E+01  0.16367E+01
 0.15968E+01 -0.10304E+01  0.16367E+01
 0.15968E+01 -0.10304E+01  0.16367E+01
 0.15968E+01 -0.10304E+01  0.16367E+01
 0.15968E+01 -0.10304E+01  0.16367E+01
 0.15968E+01 -0.10304E+01  0.16367E+01
 0.15968E+01 -0.10304E+01  0.16367E+01
 0.15968E+01 -0.10304E+01  0.16367E+01
