    0.11926363039019   0.11096538796400
     5.9836773105405D-02    7.2947526497151D-02
     2.6492411753116D-02    3.8035406882663D-02
     1.0343063237150D-02    1.5201314140225D-02
     3.3133025093973D-03    4.0382594832004D-03
     5.5113882029680D-04    1.0619865612385D-04
    -1.4478322882336D-04   -3.8344831756257D-04
     2.8052120733179D-04    5.5601080052512D-04
     1.3269002057611D-03    2.0288544573939D-03
     2.6745979460302D-03    3.6323338559977D-03
     4.1140032978900D-03    5.1768022950776D-03
     5.5151051153463D-03    6.5759746110690D-03
     6.8047622662628D-03    7.7978684256983D-03
     7.9484669704069D-03    8.8394170919469D-03
     8.9364435356470D-03    9.7123011219011D-03
     9.7736468677687D-03    1.0434851621499D-02
     1.0472937355294D-02    1.1027467008921D-02
     1.1050657620440D-02    1.1510117758056D-02
     1.1523924224823D-02    1.1901095170291D-02
     1.1909086244196D-02    1.2216489963028D-02
     1.2220943080864D-02    1.2470084897549D-02
     1.2472433824718D-02    1.2673468680203D-02
     1.2674603659641D-02    1.2836255460193D-02
     1.2836720804317D-02    1.2966342488292D-02
     1.2966464832125D-02    1.3070168388334D-02
     1.3070138979044D-02    1.3152952694080D-02
     1.3152879656564D-02    1.3218908112530D-02
     1.3218849328072D-02    1.3271423162358D-02
     1.3271406748499D-02    1.3313216182718D-02
     1.3313253110869D-02    1.3346463345160D-02
     1.3346555113052D-02    1.3372903941096D-02
     1.3373047160882D-02    1.3393926299391D-02
     1.3394115379838D-02    1.3410637480191D-02
     1.3410866144157D-02    1.3423919550516D-02
     1.3424181650538D-02    1.3434474864803D-02
     1.3434764783508D-02    1.3442862398691D-02
     1.3443175209999D-02    1.3449526841388D-02
     1.3449858339202D-02    1.3454821850737D-02
     1.3455168508869D-02    1.3459028617697D-02
     1.3459387518268D-02    1.3462370670940D-02
     1.3462739422373D-02    1.3465025673359D-02
     1.3465402329354D-02    1.3467134815613D-02
     1.3467517800751D-02    1.3468810292339D-02
     1.3469198336654D-02    1.3470141249987D-02
     1.3470533332992D-02    1.3471198517185D-02
     1.3471593820883D-02    1.3472038365896D-02
     1.3472436235861D-02    1.3472705501329D-02
     1.3473105414789D-02    1.3473235438390D-02
     1.3473636978233D-02    1.3473656390278D-02
     1.3474059224008D-02    1.3473990769245D-02
     1.3474394632012D-02    1.3474256379053D-02
     1.3474661060010D-02    1.3474467362411D-02
     1.3474872693784D-02    1.3474634953704D-02
     1.3475040802038D-02    1.3474768076992D-02
     1.3475174336164D-02    1.3474873821079D-02
     1.3475280406717D-02    1.3474957816907D-02
     1.3475364661947D-02    1.3475024537364D-02
     1.3475431588504D-02    1.3475077535433D-02
     1.3475484750315D-02    1.3475119633374D-02
     1.3475526978342D-02    1.3475153073007D-02
     1.3475560521319D-02    1.3475179635084D-02
     1.3475587165492D-02    1.3475200734111D-02
     1.3475608329736D-02    1.3475217493677D-02
     1.3475625141108D-02    1.3475230806280D-02
     1.3475638494866D-02    1.3475241380863D-02
     1.3475649102139D-02    1.3475249780555D-02
     1.3475657527799D-02    1.3475256452670D-02
     1.3475664220541D-02    1.3475261752520D-02
     1.3475669536777D-02    1.3475265962342D-02
     1.3475673759614D-02    1.3475269306324D-02
     1.3475677113934D-02    1.3475271962540D-02
     1.3475679778365D-02    1.3475274072454D-02
     1.3475681894798D-02    1.3475275748412D-02
     1.3475683575941D-02    1.3475277079665D-02
     1.3475684911320D-02    1.3475278137140D-02
     1.3475685972049D-02    1.3475278977108D-02
     1.3475686814617D-02    1.3475279644311D-02
     1.3475687483892D-02    1.3475280174291D-02
     1.3475688015516D-02    1.3475280595279D-02
     1.3475688437800D-02    1.3475280929683D-02
     1.3475688773232D-02    1.3475281195298D-02
